zip_code,location,city
33018,"18341 Pines Blvd, Pembroke Pines, FL 33029",Pembroke Pines
33015,"16024 Pines Blvd #101, Pembroke Pines, FL 33027",Pembroke Pines
33015,"15729 Pines Blvd, Pembroke Pines, FL 33027",Pembroke Pines
33015,"1657 N Hiatus Rd, Pembroke Pines, FL 33026",Pembroke Pines
33015,"600 N University Dr, Pembroke Pines, FL 33024",Pembroke Pines
33014,"170 S Flamingo Rd, Pembroke Pines, FL 33027",Pembroke Pines
33014,"10450 Pines Blvd, Pembroke Pines, FL 33026",Pembroke Pines
